Pipeline,F1 Score,Edit Distance with Best,Best Pipeline,Best F1 Score
"quantile_distribution_uniform,quantile_n_quantiles_200",0.49,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"quantile_trans,power_standardize_True,binarizer_threshold_0,quantile_distribution_uniform,power_standardize_False,quantile_n_quantiles_10",0.414634146,6,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
binarizer_threshold_0.2,0.414634146,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"quantile_n_quantiles_100,normalizer",0.716666667,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
maxabs,0.716666667,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
power_trans,0.783333333,2,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"power_standardize_True,standard_with_mean_True,quantile_trans",0.716666667,2,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"binarizer_threshold_0.4,quantile_trans",0.708333333,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"quantile_n_quantiles_100,normalizer",0.716666667,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"normalizer,normalizer_norm_l2,power_standardize_True",0.725,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"standard_with_mean_True,power_standardize_False",0.783333333,2,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"quantile_distribution_uniform,binarizer_threshold_1.0,quantile_trans",0.708333333,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"quantile_distribution_normal,power_standardize_False,quantile_trans",0.716666667,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"quantile_n_quantiles_1000,binarizer_threshold_0.6",0.691666667,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"quantile_n_quantiles_200,quantile_trans",0.716666667,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
normalizer,0.708333333,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"quantile_n_quantiles_1000,standard_with_mean_False,standard_with_mean_True,normalizer_norm_l1,standard_with_mean_False",0.691666667,4,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"standard_with_mean_False,quantile_n_quantiles_1000",0.716666667,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"power_standardize_False,standard_with_mean_True,power_trans",0.791666667,0,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"normalizer,normalizer,power_standardize_True",0.725,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"quantile_n_quantiles_10,binarizer_threshold_0.6",0.691666667,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"normalizer,power_standardize_True",0.725,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"normalizer,quantile_n_quantiles_1000,quantile_n_quantiles_100",0.733333333,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"binarizer_threshold_0.8,quantile_n_quantiles_200,binarizer_threshold_0.6,standard_with_mean_False,power_standardize_True",0.708333333,5,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"normalizer,quantile_n_quantiles_100,power_standardize_True",0.766666667,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"quantile_n_quantiles_100,quantile_n_quantiles_1000,quantile_n_quantiles_100",0.708333333,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"quantile_n_quantiles_500,minmax,power_trans,normalizer",0.725,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"power_standardize_False,standard_with_mean_True,quantile_n_quantiles_10,power_trans",0.758333333,1,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"binarizer_threshold_1.0,quantile_distribution_uniform,quantile_trans",0.708333333,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"quantile_n_quantiles_500,binarizer_threshold_0.6,power_standardize_True,standardizer,maxabs,power_trans",0.691666667,5,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"normalizer,quantile_n_quantiles_200,quantile_n_quantiles_100",0.733333333,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"quantile_trans,quantile_n_quantiles_2000",0.716666667,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"quantile_n_quantiles_1000,standard_with_mean_False,normalizer,normalizer_norm_l1,standard_with_mean_False",0.733333333,5,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"quantile_n_quantiles_500,quantile_n_quantiles_100",0.716666667,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"normalizer,quantile_n_quantiles_1200",0.733333333,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
standardizer,0.75,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"quantile_distribution_normal,quantile_trans",0.716666667,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"binarizer_threshold_0.2,quantile_n_quantiles_1000",0.708333333,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"normalizer,binarizer_threshold_0.4",0.708333333,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
binarizer_threshold_0.6,0.708333333,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"quantile_distribution_normal,power_trans,quantile_trans",0.716666667,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"binarizer_threshold_0.2,quantile_distribution_uniform,quantile_distribution_uniform,normalizer,normalizer_norm_l1,quantile_distribution_uniform",0.708333333,6,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"normalizer_norm_l2,quantile_trans",0.733333333,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
power_standardize_True,0.783333333,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"quantile_n_quantiles_1200,normalizer",0.716666667,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"quantile_n_quantiles_100,power_standardize_False,quantile_trans",0.716666667,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
quantile_n_quantiles_1000,0.716666667,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"power_standardize_False,power_trans,standard_with_mean_True",0.775,2,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"normalizer,quantile_n_quantiles_1000,binarizer_threshold_0.8,quantile_n_quantiles_100",0.708333333,4,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
quantile_n_quantiles_200,0.716666667,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"maxabs,binarizer",0.708333333,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"power_standardize_False,power_trans,quantile_n_quantiles_10,standard_with_mean_True",0.733333333,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"normalizer,normalizer,power_standardize_True",0.725,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"quantile_n_quantiles_100,binarizer_threshold_1.0,normalizer",0.708333333,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"quantile_n_quantiles_200,quantile_trans",0.716666667,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"quantile_n_quantiles_1200,normalizer",0.716666667,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
normalizer_norm_max,0.708333333,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"normalizer,quantile_n_quantiles_200,maxabs,quantile_n_quantiles_100",0.733333333,4,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"power_trans,binarizer_threshold_0",0.708333333,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"normalizer_norm_l2,normalizer_norm_l1,binarizer_threshold_0,quantile_n_quantiles_1500,quantile_n_quantiles_10",0.708333333,5,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"power_standardize_True,binarizer_threshold_0.4,standard_with_mean_True,quantile_trans",0.716666667,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"quantile_n_quantiles_1000,standard_with_mean_False,normalizer,binarizer_threshold_0.6,standard_with_mean_False",0.683333333,5,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"quantile_n_quantiles_1200,normalizer",0.716666667,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"quantile_distribution_uniform,power_standardize_False,binarizer_threshold_0.6,normalizer_norm_max",0.708333333,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"normalizer_norm_l2,normalizer,power_standardize_True",0.725,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
